DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   235.600     9.1180    78.7400   -99999.0   109.3700   -99999.0    69.6850   -99999.0    13.6060    41.2600 
   235.800     9.2600    75.5910   -99999.0   110.6300   -99999.0    68.7400   -99999.0    14.0790    40.6300 
   236.000     9.3070    72.4410   -99999.0   111.1020   -99999.0    78.1890   -99999.0    15.2760    38.7400 
   236.200     9.2910    62.9883   -99999.0   111.0240   -99999.0    79.3701   -99999.0    17.3230    38.4250 
   236.400     9.2910    58.2680   -99999.0   110.0790   -99999.0    76.7720   -99999.0    19.4960    38.1100 
   236.600     9.1810    51.9690   -99999.0   108.1890   -99999.0    72.5200   -99999.0    21.1020    38.1100 
   236.800     9.0080    45.6690   -99999.0   106.2200   -99999.0    71.5750   -99999.0    23.3070    38.1100 
   237.000     9.1500    42.5200   -99999.0   102.5200   -99999.0    64.7240   -99999.0    27.4020    38.1100 
   237.200     9.1970    39.3701   -99999.0    98.3438   -99999.0    63.3069   -99999.0    30.5508    36.8499 
   237.400     8.9450    34.6460   -99999.0    91.8110   -99999.0    59.2910   -99999.0    33.0710    35.5910 
   237.600     8.9610    34.6460   -99999.0    90.4720   -99999.0    53.6220   -99999.0    34.6460    34.3310 
   237.800     8.7400    31.4960   -99999.0    91.1020   -99999.0    41.8110   -99999.0    35.9060    33.7010 
   238.000     8.7240    28.3460   -99999.0    91.0240   -99999.0    33.7800   -99999.0    37.1650    32.7560 
   238.200     8.7090    25.1970   -99999.0    90.7869   -99999.0    28.3438   -99999.0    40.0000    31.8110 
   238.400     8.6930    23.6220   -99999.0    91.1020   -99999.0    27.1650   -99999.0    42.8350    29.6060 
   238.600     8.6770    20.4720   -99999.0    91.6540   -99999.0    25.2760   -99999.0    46.2990    28.0310 
   238.800     8.6610    17.3230   -99999.0    92.1260   -99999.0    24.5670   -99999.0    50.0790    26.4570 
   239.000     8.6460    17.3230   -99999.0    92.5200   -99999.0    25.9840   -99999.0    55.1180    25.8270 
   239.200     8.6770    17.3230   -99999.0    92.9919   -99999.0    27.4021   -99999.0    56.6931    25.1970 
   239.400     8.7090    15.7480   -99999.0    94.5670   -99999.0    27.4020   -99999.0    58.5830    24.5670 
   239.600     8.7090    15.7480   -99999.0    94.3310   -99999.0    27.1650   -99999.0    62.0470    24.2520 
   239.800     8.6610    17.3230   -99999.0    93.1500   -99999.0    27.6380   -99999.0    64.5670    23.6220 
   240.000     8.6770    15.7480   -99999.0    92.3620   -99999.0    27.4020   -99999.0    65.1970    23.9370 
   240.200     8.6930    12.5981   -99999.0    92.9919   -99999.0    25.9841   -99999.0    66.1418    24.2520 
   240.400     8.7240     9.4490   -99999.0    93.7010   -99999.0    24.8030   -99999.0    66.4570    23.6220 
   240.600     8.7560     9.4490   -99999.0    94.7240   -99999.0    24.5670   -99999.0    67.0870    22.6770 
